seller_city,period,sales,freight_value,total_sales,quantity,volume,baskets
anapolis,2017-12-01,315,56.65,371.65,1,11.45,1
anapolis,2018-01-01,244,67.66,311.66,2,2.45,2
anapolis,2018-02-01,545,198.1,743.1,3,14.95,3
anapolis,2018-03-01,69,15.49,84.49,1,0.5,1
anapolis,2018-04-01,321.93,106.54,428.47,7,1.099,2
anapolis,2018-05-01,308.6,96.41,405.01,4,0.657,3
anapolis,2018-06-01,532.6,187.11,719.71,5,0.75,5
anapolis,2018-07-01,1034.3,272.82,1307.12,9,2.307,8
andira-pr,2017-02-01,84.5,72.1,156.6,5,2.05,3
andira-pr,2017-03-01,33.8,29.04,62.84,2,0.82,1
andira-pr,2017-04-01,50.7,40.06,90.76,3,1.23,2
andira-pr,2017-05-01,67.6,55.16,122.76,4,1.64,4
andira-pr,2017-06-01,101.4,93.98,195.38,6,2.5,5
andira-pr,2017-07-01,33.8,30.2,64,2,0.82,1
andira-pr,2017-08-01,16.9,15.1,32,1,0.41,1
andira-pr,2017-09-01,202.8,175.96,378.76,12,4.92,4
andira-pr,2017-11-01,50.7,45.3,96,3,1.23,2
andira-pr,2017-12-01,50.7,45.3,96,3,1.27,2
andira-pr,2018-01-01,16.9,16.79,33.69,1,0.41,1
andira-pr,2018-02-01,84.5,106.47,190.97,5,2.05,3
andira-pr,2018-06-01,50.7,54.69,105.39,3,1.31,2
andira-pr,2018-07-01,16.9,18.23,35.13,1,0.41,1
andradas,2017-01-01,2813.8,187.85,3001.65,11,10.39,10
andradas,2017-02-01,5810,219.9,6029.9,11,15.03,11
andradas,2017-03-01,5234.2,176.11,5410.31,8,20.241,7
andradas,2017-04-01,857.3,114.36,971.66,7,5.378,7
andradas,2017-05-01,16.9,15.1,32,1,0.3,1
andradas,2017-06-01,669.5,97.73,767.23,5,6.325,5
andradas,2017-07-01,297.7,41.99,339.69,3,1.425,3
andradas,2017-08-01,281.7,68.26,349.96,3,1.7,3
andradas,2017-09-01,281.8,78.33,360.13,3,10.867,3
andradas,2017-10-01,803.69,80.38,884.07,4,5.304,4
andradas,2017-11-01,145.9,16.78,162.68,1,0.8,1
angra dos reis,2018-06-01,2228.9,130.66,2359.56,5,6.675,3
angra dos reis,2018-07-01,139.9,20.17,160.07,1,0.6,1
angra dos reis rj,2018-04-01,49,19.32,68.32,1,0.75,1
ao bernardo do campo,2018-03-01,98.99,9.05,108.04,1,1.175,1
ao bernardo do campo,2018-06-01,147.99,12.06,160.05,1,1.367,1
ao bernardo do campo,2018-07-01,187.98,35.13,223.11,2,2.675,2
aparecida,2017-06-01,6.19,16.79,22.98,1,0.2,1
aparecida,2017-09-01,154.25,73.02,227.27,9,2.2,4
aparecida,2017-10-01,106.64,53.94,160.58,4,2.35,4
aparecida,2017-11-01,104.27,114.3,218.57,8,2.5,8
aparecida,2018-01-01,39.45,40.73,80.18,2,0.85,2
aparecida,2018-02-01,31.45,24.64,56.09,2,0.4,2
aparecida,2018-03-01,95.45,159.24,254.69,9,2.2,6
aparecida,2018-04-01,87.03,41.28,128.31,2,2.2,2
aparecida,2018-05-01,83.39,49.26,132.65,3,1.1,2
aparecida,2018-06-01,89.76,56.79,146.55,4,1.3,4
aparecida,2018-07-01,49.47,56.61,106.08,4,1.1,4
aparecida de goiania,2017-02-01,664.1,114.55,778.65,6,3.768,6
aparecida de goiania,2017-03-01,1715,254.15,1969.15,13,8.239,12
aparecida de goiania,2017-04-01,809.11,123.12,932.23,7,2.46,6
aparecida de goiania,2017-05-01,1142.64,166.35,1308.99,9,3.749,8
aparecida de goiania,2017-06-01,1331.97,240.66,1572.63,9,4.181,7
aparecida de goiania,2017-07-01,1137.78,193.78,1331.56,8,5.554,8
aparecida de goiania,2017-08-01,2278.77,454.15,2732.92,20,17.998,13
aparecida de goiania,2017-09-01,175.99,17.67,193.66,1,0.6,1
aparecida de goiania,2017-10-01,175.99,26.51,202.5,1,0.6,1
aparecida de goiania,2017-11-01,63.33,3.36,66.69,1,0.125,1
aparecida de goiania,2017-12-01,685.3,79.8,765.1,3,2.287,3
aparecida de goiania,2018-02-01,112.33,15.8,128.13,1,1.277,1
aperibe,2017-04-01,100.99,44.86,145.85,3,0.8,2
aperibe,2017-05-01,85.49,36.08,121.57,2,3.15,2
aperibe,2017-06-01,18.99,16.79,35.78,1,0.15,1
aperibe,2017-07-01,18.99,12.35,31.34,1,0.15,1
aperibe,2017-08-01,69.99,15.24,85.23,1,0.4,1
aperibe,2017-09-01,175.95,74.79,250.74,5,1.1,5
aperibe,2017-11-01,539.96,61.54,601.5,4,3.3,3
aperibe,2018-01-01,239.99,15.27,255.26,1,2,1
aperibe,2018-02-01,359.98,38.93,398.91,2,3.5,2
apucarana,2017-03-01,59.9,26.89,86.79,1,1.8,1
apucarana,2017-04-01,245.5,67.14,312.64,4,3.85,3
apucarana,2017-05-01,159.85,33.12,192.97,2,2.117,2
apucarana,2017-06-01,359.4,97.45,456.85,6,10.8,6
apucarana,2017-07-01,329.98,32.9,362.88,2,0.991,2
apucarana,2017-08-01,409.88,116.66,526.54,4,1.677,3
apucarana,2017-09-01,867.61,157.64,1025.25,12,4.347,9
apucarana,2017-10-01,629.57,148.64,778.21,7,4.245,6
apucarana,2017-11-01,325.08,90.06,415.14,6,2.065,5
apucarana,2017-12-01,1384.62,132.03,1516.65,7,5.906,7
apucarana,2018-01-01,803.53,192.39,995.92,12,8.169,9
apucarana,2018-02-01,859.04,139.77,998.81,8,10.754,8
apucarana,2018-03-01,2493.7,718.21,3211.91,13,60.217,10
apucarana,2018-04-01,2037.37,459.02,2496.39,18,55.519,16
apucarana,2018-05-01,1666.56,236.65,1903.21,11,14.85,9
apucarana,2018-06-01,2310.25,381.94,2692.19,13,21.121,13
apucarana,2018-07-01,5816.54,345.43,6161.97,10,52.701,9
aracaju,2017-10-01,735.9,96.07,831.97,4,1.923,3
aracaju,2017-12-01,360.8,36.33,397.13,1,4.917,1
aracatuba,2017-01-01,17.9,10.96,28.86,1,0.183,1
aracatuba,2017-02-01,69.9,32.54,102.44,2,1.7,2
aracatuba,2017-03-01,153.7,43.98,197.68,4,1.083,4
aracatuba,2017-04-01,395.74,115.71,511.45,8,2,7
aracatuba,2017-05-01,144.96,101.37,246.33,4,0.3,4
aracatuba,2017-06-01,157.97,56.74,214.71,4,0.55,3
aracatuba,2017-07-01,119.99,38.8,158.79,3,0.2,3
aracatuba,2017-08-01,240.98,92.74,333.72,5,0.55,4
aracatuba,2017-09-01,353.97,148.27,502.24,8,0.8,8
aracatuba,2017-10-01,451.96,113.29,565.25,7,1.3,6
aracatuba,2017-11-01,249.98,113.49,363.47,5,0.7,4
aracatuba,2017-12-01,369.96,106.73,476.69,8,1.1,7
aracatuba,2018-01-01,369.97,97.02,466.99,6,0.75,5
aracatuba,2018-02-01,209.99,83.92,293.91,3,0.65,3
aracatuba,2018-03-01,124.98,49.32,174.3,3,0.25,3
aracatuba,2018-04-01,169.98,31.58,201.56,2,0.2,2
aracatuba,2018-05-01,59.99,18.52,78.51,1,0.1,1
aracatuba,2018-06-01,34.99,12.91,47.9,1,0.1,1
aracatuba,2018-07-01,187,68.27,255.27,4,0.8,3
araguari,2016-09-01,133.8,42.16,175.96,2,3.7,2
araguari,2016-12-01,130.8,36.74,167.54,2,3.2,2
araguari,2017-01-01,261.8,78.56,340.36,4,5.3,3
araguari,2017-02-01,1522.8,642.54,2165.34,39,56,37
araguari,2017-03-01,1229.26,373.46,1602.72,24,47.1,18
araguari,2017-04-01,2165.8,843.34,3009.14,51,48.567,50
araguari,2017-05-01,1442.34,503.56,1945.9,29,26.225,29
araguari,2017-06-01,2096.62,702.03,2798.65,39,61.49,37
araguari,2017-07-01,2854.56,725.02,3579.58,41,34.74,36
araguari,2017-08-01,4195.55,710.23,4905.78,37,67.4,31
araguari,2017-09-01,2456.88,619.77,3076.65,32,16.09,31
araguari,2017-10-01,5162.85,1014.17,6177.02,49,37.367,46
araguari,2017-11-01,1820.22,315.71,2135.93,19,13.868,18
araguari,2017-12-01,1171.97,267.6,1439.57,12,10.825,12
araguari,2018-01-01,1173.43,140.68,1314.11,8,3.1,8
araguari,2018-02-01,1279.78,168.68,1448.46,6,5.85,5
araguari,2018-03-01,790.92,182.49,973.41,10,3.003,10
araguari,2018-04-01,3814.79,496.68,4311.47,25,28.958,24
araguari,2018-05-01,6916.36,1006.05,7922.41,39,59.756,35
araguari,2018-06-01,2189.79,504.91,2694.7,24,6.617,23
araguari,2018-07-01,2218.83,429.84,2648.67,20,7.315,20
arapongas,2016-12-01,97.6,21.92,119.52,2,0.6,1
arapongas,2017-02-01,1285.7,296.34,1582.04,4,12.55,4
arapongas,2017-03-01,659.8,113.09,772.89,6,43.15,5
arapongas,2017-04-01,898.5,168.37,1066.87,8,76.6,8
arapongas,2017-05-01,1023.7,145.6,1169.3,10,39.25,6
arapongas,2017-06-01,670.1,208.69,878.79,8,49.85,7
arapongas,2017-07-01,1348.46,311.55,1660.01,12,85.005,12
arapongas,2017-08-01,1232.4,166.31,1398.71,9,56.05,9
arapongas,2017-09-01,728.3,238.31,966.61,8,57.5,8
arapongas,2017-10-01,688.7,122.46,811.16,6,42.875,6
arapongas,2017-11-01,1132.7,268.72,1401.42,11,76.8,10
arapongas,2017-12-01,1398.9,246.65,1645.55,12,107.6,11
arapongas,2018-01-01,879.4,178.41,1057.81,8,65.65,8
arapongas,2018-02-01,799.4,164.82,964.22,8,63.4,8
arapongas,2018-03-01,485.7,199.23,684.93,5,39.05,5
arapongas,2018-04-01,248.9,83.32,332.22,2,18.8,2
arapongas,2018-05-01,1031.49,376.81,1408.3,5,49.575,5
arapongas,2018-06-01,2847.8,663.16,3510.96,9,162.708,8
arapongas,2018-07-01,2034.96,378.03,2412.99,9,75.85,9
araquari,2018-01-01,80,17,97,1,1.1,1
ararangua,2016-12-01,222.54,29.9,252.44,2,1.2,2
ararangua,2017-01-01,193.5,41.54,235.04,2,1.2,2
ararangua,2017-07-01,91.71,15.39,107.1,1,0.5,1
araraquara,2017-01-01,89,11.23,100.23,1,0.8,1
araraquara,2017-03-01,95,47.81,142.81,3,2.1,3
araraquara,2017-04-01,3130.4,349.99,3480.39,14,59.75,13
araraquara,2017-05-01,4082.8,394.59,4477.39,9,110.15,9
araraquara,2017-06-01,4762.5,501.34,5263.84,12,106.7,11
araraquara,2017-07-01,7950.6,933.85,8884.45,17,212.55,15
araraquara,2017-08-01,8699.6,771.05,9470.65,18,217.25,18
araraquara,2017-09-01,5006.89,599.86,5606.75,10,125.7,10
araraquara,2017-10-01,4386.89,575.47,4962.36,9,108.65,9
araraquara,2017-11-01,2310.18,373.67,2683.85,19,44.416,19
araraquara,2017-12-01,1979.16,410.77,2389.93,26,22.028,25
araraquara,2018-01-01,2814.64,428.63,3243.27,21,55.492,20
araraquara,2018-02-01,3944.59,581.94,4526.53,15,60.263,13
araraquara,2018-03-01,744.56,152.91,897.47,8,14.518,7
araraquara,2018-04-01,2396.54,293.81,2690.35,13,58.25,13
araraquara,2018-05-01,1015.89,327.94,1343.83,16,87.275,16
araraquara,2018-06-01,1366.63,453.54,1820.17,10,62.35,10
araraquara,2018-07-01,2052.22,329.93,2382.15,13,88.275,13
araras,2016-12-01,339.74,18,357.74,1,5.6,1
araras,2017-01-01,339.74,41.01,380.75,1,5.5,1
araras,2017-02-01,812.75,64.4,877.15,2,8.3,2
araras,2017-03-01,762.51,54.12,816.63,2,15.8,2
araras,2017-04-01,533.57,77.73,611.3,2,7.35,2
araras,2017-05-01,515.14,37.02,552.16,2,7.1,2
araras,2017-07-01,1334.83,124.74,1459.57,3,25.8,3
araras,2017-08-01,165,31.87,196.87,3,0.75,3
araras,2017-09-01,364.14,50.87,415.01,2,3.7,2
araras,2017-11-01,446,43.28,489.28,4,3.4,4
araras,2017-12-01,1841,143.32,1984.32,7,15.8,6
araras,2018-02-01,1218,110.77,1328.77,8,10.4,8
araras,2018-03-01,1433.99,42.73,1476.72,3,5.125,3
araras,2018-04-01,417,34.42,451.42,3,3.25,3
araras,2018-05-01,215.44,19.51,234.95,2,1.15,2
araras,2018-07-01,52,18.46,70.46,1,0.25,1
araucaria,2017-02-01,30.65,14.52,45.17,1,0.4,1
araucaria,2017-05-01,4.78,8.11,12.89,1,0.2,1
araucaria,2017-09-01,385,21.23,406.23,1,0.45,1
araucaria,2017-10-01,460.9,32.41,493.31,2,0.533,2
araucaria,2017-12-01,315.68,153.81,469.49,9,1.608,4
araucaria,2018-01-01,779.28,116.42,895.7,7,1.833,6
araucaria,2018-02-01,216,38.71,254.71,2,0.2,2
araucaria,2018-03-01,1100,94.59,1194.59,5,1.275,5
araucaria,2018-04-01,499.9,42.01,541.91,2,0.55,2
araucaria,2018-06-01,422.9,54.13,477.03,3,3.15,3
araxa,2016-12-01,299.9,27.6,327.5,1,7.2,1
araxa,2017-01-01,299.9,34.84,334.74,1,7.2,1
araxa,2017-02-01,399,49.3,448.3,1,7.2,1
araxa,2017-05-01,189.99,26.61,216.6,1,0.2,1
arinos,2017-01-01,144.97,42.72,187.69,3,6.2,3
arinos,2017-02-01,229.89,29.95,259.84,2,0.595,2
arinos,2017-03-01,159.98,22.34,182.32,2,0.6,1
arinos,2017-04-01,159.98,27.42,187.4,2,0.6,2
arinos,2017-06-01,29.9,15.1,45,1,0.2,1
armacao dos buzios,2017-07-01,139.9,15.73,155.63,1,0.7,1
armacao dos buzios,2017-08-01,14.9,20.84,35.74,1,0.8,1
armacao dos buzios,2017-10-01,107.9,32.88,140.78,2,8.15,2
arraial d'ajuda (porto seguro),2017-01-01,653,60.04,713.04,3,1.9,3
arraial d'ajuda (porto seguro),2017-02-01,944,86.87,1030.87,4,2.4,3
arraial d'ajuda (porto seguro),2017-03-01,860.99,56.82,917.81,3,1.85,3
arraial d'ajuda (porto seguro),2017-04-01,208.9,36.18,245.08,2,1.2,2
arraial d'ajuda (porto seguro),2017-05-01,599,39.51,638.51,1,0.9,1
arraial d'ajuda (porto seguro),2017-08-01,129.99,17.35,147.34,1,0.9,1
arraial d'ajuda (porto seguro),2017-09-01,1696,95.35,1791.35,4,4.1,4
arraial d'ajuda (porto seguro),2017-11-01,139,43,182,1,0.7,1
arraial d'ajuda (porto seguro),2017-12-01,577,54.6,631.6,2,0.733,2
arraial d'ajuda (porto seguro),2018-01-01,623,91.24,714.24,3,1.9,3
arraial d'ajuda (porto seguro),2018-02-01,199.99,53.53,253.52,1,0.7,1
arraial d'ajuda (porto seguro),2018-03-01,135,51.45,186.45,1,0.7,1
arraial d'ajuda (porto seguro),2018-04-01,159,27.84,186.84,1,1.15,1
arraial d'ajuda (porto seguro),2018-05-01,289,70.17,359.17,1,2.2,1
arraial d'ajuda (porto seguro),2018-06-01,280,40.23,320.23,1,0.6,1
arraial d'ajuda (porto seguro),2018-07-01,102,15.16,117.16,1,1.15,1
artur nogueira,2017-01-01,298.9,54.61,353.51,2,1.6,1
artur nogueira,2017-02-01,189.9,16.54,206.44,1,0.8,1
artur nogueira,2017-07-01,519,68.72,587.72,1,18.5,1
artur nogueira,2017-08-01,104.8,48.45,153.25,2,5.35,2
artur nogueira,2017-09-01,53.9,17.63,71.53,1,1.625,1
artur nogueira,2017-10-01,49.9,7.04,56.94,1,1.725,1
artur nogueira,2017-11-01,33.8,7.78,41.58,1,1.075,1
artur nogueira,2017-12-01,447.3,63.22,510.52,5,4.16,5
artur nogueira,2018-01-01,249.7,18.19,267.89,1,0.62,1
artur nogueira,2018-02-01,147.4,44.01,191.41,3,2.15,3
artur nogueira,2018-03-01,94.9,26.55,121.45,2,1.108,2
artur nogueira,2018-04-01,27.3,7.39,34.69,1,0.258,1
artur nogueira,2018-05-01,312,65.05,377.05,3,2.809,3
aruja,2017-03-01,110.3,14.54,124.84,1,2,1
aruja,2017-05-01,437.6,60.2,497.8,3,12.1,3
aruja,2017-10-01,146.51,24.88,171.39,2,1.369,2
aruja,2017-11-01,44.5,8.72,53.22,1,0.483,1
aruja,2017-12-01,169.8,47.33,217.13,2,6.6,2
aruja,2018-01-01,292.2,102.27,394.47,4,40.93,3
aruja,2018-02-01,382.9,103.89,486.79,7,9.205,6
aruja,2018-03-01,835.8,162.96,998.76,8,25.2,8
aruja,2018-05-01,139.7,42.71,182.41,3,2.15,3
arvorezinha,2017-10-01,2300,112.14,2412.14,2,16.7,2
arvorezinha,2018-02-01,111,54.69,165.69,3,5.85,3
arvorezinha,2018-03-01,185,94.05,279.05,5,9.75,5
arvorezinha,2018-04-01,253.9,92.73,346.63,3,11.65,3
arvorezinha,2018-05-01,168,78,246,4,3.6,3
arvorezinha,2018-06-01,215,92.89,307.89,3,5.2,3
arvorezinha,2018-07-01,214,77.96,291.96,3,5.7,3
assis,2016-12-01,390.8,69.03,459.83,4,7.45,3
assis,2017-01-01,574.6,138.38,712.98,9,5.5,8
assis,2017-02-01,581.7,91.41,673.11,6,6.2,6
assis,2017-03-01,140.79,34.72,175.51,3,1.775,3
assis,2017-04-01,871.99,215.19,1087.18,8,23.6,8
assis,2017-05-01,314.55,120.69,435.24,9,5.048,8
assis,2017-06-01,1681.98,360.53,2042.51,16,35.575,13
assis,2017-07-01,1309.39,187.99,1497.38,12,20.925,12
assis,2017-08-01,2761.59,452.74,3214.33,16,51.513,14
assis,2017-09-01,1190.42,276.49,1466.91,16,22.361,13
assis,2017-10-01,3495.38,802.85,4298.23,45,55.253,42
assis,2017-11-01,1803.58,293.67,2097.25,19,14.884,19
assis,2017-12-01,2398.3,706.66,3104.96,40,76.148,36
assis,2018-01-01,1967.67,421.67,2389.34,26,51.963,19
assis,2018-02-01,1027.75,309.98,1337.73,19,22.113,18
assis,2018-03-01,1062.4,394.91,1457.31,14,75.684,12
assis,2018-04-01,932.87,353.2,1286.07,14,17.292,13
assis,2018-05-01,1480.52,372.46,1852.98,18,36.037,18
assis,2018-06-01,502.96,176.78,679.74,9,12.515,9
assis,2018-07-01,1688.99,283.61,1972.6,14,23.257,12
atibaia,2016-12-01,49.99,14.52,64.51,1,0.05,1
atibaia,2017-01-01,269.95,62.06,332.01,5,0.3,5
atibaia,2017-02-01,1235.45,106.26,1341.71,8,2.5,8
atibaia,2017-03-01,133.88,42.86,176.74,3,0.65,3
atibaia,2017-04-01,149.98,30.55,180.53,2,0.15,2
atibaia,2017-05-01,486.5,50.24,536.74,3,1.7,3
atibaia,2017-06-01,3448.6,363.12,3811.72,27,16.422,27
atibaia,2017-07-01,1411.49,316.26,1727.75,19,21.1,18
atibaia,2017-08-01,2225.53,264.59,2490.12,16,11.566,16
atibaia,2017-09-01,1765.68,355.56,2121.24,16,11.782,16
atibaia,2017-10-01,1654.79,229.96,1884.75,14,22.21,14
atibaia,2017-11-01,2806.46,385.72,3192.18,24,34.5,24
atibaia,2017-12-01,1335.23,467.74,1802.97,27,62.225,26
atibaia,2018-01-01,1820.73,690.8,2511.53,46,44.6,45
atibaia,2018-02-01,2875.16,1021.37,3896.53,61,49.514,58
atibaia,2018-03-01,4562.77,1215.64,5778.41,77,49.517,74
atibaia,2018-04-01,4038.58,1299.02,5337.6,78,77.733,74
atibaia,2018-05-01,3775.18,1012.97,4788.15,64,34.245,64
atibaia,2018-06-01,3312.41,1142.91,4455.32,77,27.966,74
atibaia,2018-07-01,3941.75,672.32,4614.07,52,31.867,48
auriflama,2018-04-01,79.8,17.3,97.1,2,1.85,2
auriflama,2018-05-01,46.84,13.71,60.55,1,0.75,1
auriflama,2018-06-01,99.8,27.86,127.66,2,3,1
auriflama,2018-07-01,132.89,65.43,198.32,4,3.2,3
auriflama/sp,2018-07-01,510,130.36,640.36,6,21.5,6
avare,2018-03-01,47.4,12.79,60.19,1,0.25,1
bady bassitt,2016-12-01,209.99,50,259.99,1,28.1,1
bady bassitt,2017-02-01,639.88,195.49,835.37,3,55.566,2
bady bassitt,2017-03-01,629.96,177.71,807.67,4,35.9,3
bady bassitt,2017-04-01,1186.92,262.77,1449.69,8,95.295,7
bady bassitt,2017-05-01,267.97,68.52,336.49,3,26.9,3
bady bassitt,2018-04-01,180,27.34,207.34,1,2.65,1
bady bassitt,2018-05-01,288,19.9,307.9,1,4.1,1
bady bassitt,2018-07-01,210,19.57,229.57,1,3.15,1
baependi,2017-06-01,278,38.91,316.91,2,19.9,2
baependi,2017-07-01,585,102.97,687.97,4,39.15,4
baependi,2017-08-01,989.9,190.25,1180.15,7,69.1,7
baependi,2017-09-01,1771,471.14,2242.14,13,130,13
baependi,2017-10-01,2501.8,578.27,3080.07,21,219.2,18
baependi,2017-11-01,2507,632.16,3139.16,19,196.95,16
baependi,2017-12-01,2283,502.99,2785.99,17,172.7,17
baependi,2018-01-01,2742,510.05,3252.05,20,202.55,18
baependi,2018-02-01,1959,504.46,2463.46,15,161.35,13
baependi,2018-03-01,3285,705.21,3990.21,24,244.7,21
baependi,2018-04-01,2367,546.18,2913.18,18,184.55,18
baependi,2018-05-01,1878,546.64,2424.64,14,143.75,12
baependi,2018-06-01,1647.99,827.76,2475.75,14,126.4,12
baependi,2018-07-01,823,322.8,1145.8,6,61.9,6
bage,2016-09-01,248,18.11,266.11,1,3.3,1
bahia,2018-05-01,169.9,39.46,209.36,1,0.6,1
bahia,2018-06-01,339.8,93,432.8,2,1.2,2
bahia,2018-07-01,339.8,107.08,446.88,2,1.2,2
balenario camboriu,2017-11-01,169,14.33,183.33,1,1.625,1
balenario camboriu,2018-01-01,169,14.33,183.33,1,2.25,1
balenario camboriu,2018-02-01,169,24.11,193.11,1,2.25,1
balneario camboriu,2017-05-01,160,28.12,188.12,2,0.283,2
balneario camboriu,2017-06-01,80,34.36,114.36,1,0.133,1
balneario camboriu,2017-07-01,598,54.64,652.64,3,1.407,3
balneario camboriu,2017-08-01,80,25.84,105.84,1,0.133,1
balneario camboriu,2017-10-01,469,20.85,489.85,1,0.595,1
balneario camboriu,2017-12-01,875.95,144.64,1020.59,9,2.6,6
balneario camboriu,2018-01-01,876,95.78,971.78,4,2.4,4
balneario camboriu,2018-02-01,279,11.1,290.1,1,0.55,1
balneario camboriu,2018-03-01,219,61.59,280.59,1,0.6,1
balneario camboriu,2018-04-01,1857,219.6,2076.6,4,2.338,4
balneario camboriu,2018-05-01,245.99,42.62,288.61,2,0.7,2
balneario camboriu,2018-06-01,29.99,22.14,52.13,1,0.1,1
bandeirantes,2018-04-01,109.9,34.31,144.21,1,4.1,1
bandeirantes,2018-05-01,109.9,22.7,132.6,1,5.25,1
bandeirantes,2018-06-01,99.9,47.75,147.65,1,5.25,1
bandeirantes,2018-07-01,220,124.98,344.98,2,8,2
barbacena,2018-05-01,170,22.94,192.94,1,1.6,1
barbacena/ minas gerais,2018-06-01,69.9,23.64,93.54,1,0.65,1
bariri,2016-12-01,1191.98,55.83,1247.81,2,8.6,2
bariri,2017-01-01,504.72,35.81,540.53,1,8.6,1
bariri,2017-02-01,579.8,42.27,622.07,2,4.4,2
bariri,2017-03-01,839.8,87.49,927.29,2,22.25,2
bariri,2017-04-01,1764.5,122.2,1886.7,5,20.5,4
bariri,2017-05-01,399.9,23.29,423.19,1,3.5,1
