seller_id,period,sales,freight_value,total_sales,quantity,volume,baskets
002100f778ceb8431b7a1020ff7ab48f,2018-01-01,189.6,57.71,247.31,4,2,4
002100f778ceb8431b7a1020ff7ab48f,2018-02-01,57.7,43.81,101.51,3,0.85,3
002100f778ceb8431b7a1020ff7ab48f,2018-03-01,109.8,31.3,141.1,2,1.1,2
003554e2dce176b5555353e4f3555ac8,2017-11-01,120,19.38,139.38,1,1.2,1
004c9cd9d87a3c30c522c48c4fc07416,2016-12-01,719.94,110.43,830.37,6,12.516,6
004c9cd9d87a3c30c522c48c4fc07416,2017-01-01,2043.36,265.47,2308.83,15,33.586,12
004c9cd9d87a3c30c522c48c4fc07416,2017-02-01,1078.91,142.07,1220.98,9,19.772,6
004c9cd9d87a3c30c522c48c4fc07416,2017-03-01,1389.92,204.56,1594.48,11,27.046,10
004c9cd9d87a3c30c522c48c4fc07416,2017-04-01,528.95,115.67,644.62,5,9.95,5
004c9cd9d87a3c30c522c48c4fc07416,2017-05-01,1338.9,196.35,1535.25,10,25.16,9
004c9cd9d87a3c30c522c48c4fc07416,2017-06-01,1263.62,228.92,1492.54,13,25.624,12
004c9cd9d87a3c30c522c48c4fc07416,2017-07-01,2653.98,525.93,3179.91,22,60.612,21
004c9cd9d87a3c30c522c48c4fc07416,2017-08-01,1278.22,281.59,1559.81,15,22.4,14
004c9cd9d87a3c30c522c48c4fc07416,2017-09-01,679.85,114.02,793.87,6,13.896,6
004c9cd9d87a3c30c522c48c4fc07416,2017-10-01,1990.41,433.65,2424.06,17,53.55,17
004c9cd9d87a3c30c522c48c4fc07416,2017-11-01,1479.8,248.8,1728.6,14,25.25,14
004c9cd9d87a3c30c522c48c4fc07416,2017-12-01,1110.16,164.1,1274.26,8,38.25,8
004c9cd9d87a3c30c522c48c4fc07416,2018-01-01,395.19,52.85,448.04,3,5.146,3
004c9cd9d87a3c30c522c48c4fc07416,2018-02-01,659.66,182.19,841.85,8,11.85,8
004c9cd9d87a3c30c522c48c4fc07416,2018-03-01,752.34,132.8,885.14,6,10.5,5
004c9cd9d87a3c30c522c48c4fc07416,2018-04-01,349.5,151.83,501.33,2,19.95,2
00720abe85ba0859807595bbf045a33b,2017-12-01,156,30.62,186.62,2,1.8,1
00720abe85ba0859807595bbf045a33b,2018-01-01,78,9.36,87.36,1,0.85,1
00720abe85ba0859807595bbf045a33b,2018-02-01,54,60.53,114.53,4,1,2
00720abe85ba0859807595bbf045a33b,2018-03-01,151.7,75.55,227.25,6,2.65,3
00720abe85ba0859807595bbf045a33b,2018-04-01,269.6,52.55,322.15,5,3.65,3
00720abe85ba0859807595bbf045a33b,2018-05-01,88.2,60.96,149.16,6,2.2,1
00720abe85ba0859807595bbf045a33b,2018-06-01,78,16.74,94.74,1,0.9,1
00720abe85ba0859807595bbf045a33b,2018-07-01,132,9.67,141.67,1,0.6,1
00ab3eff1b5192e5f1a63bcecfee11c8,2017-02-01,98,12.08,110.08,1,0.8,1
00d8b143d12632bad99c0ad66ad52825,2018-02-01,86,51.1,137.1,1,0.15,1
00ee68308b45bc5e2660cd833c3f81cc,2017-08-01,240,47.39,287.39,3,18.114,2
00ee68308b45bc5e2660cd833c3f81cc,2017-09-01,1016,177.87,1193.87,11,41.564,11
00ee68308b45bc5e2660cd833c3f81cc,2017-10-01,1735,293.38,2028.38,17,48.841,12
00ee68308b45bc5e2660cd833c3f81cc,2017-11-01,1777,423.46,2200.46,19,53.713,16
00ee68308b45bc5e2660cd833c3f81cc,2017-12-01,6534,1059.67,7593.67,61,162.033,42
00ee68308b45bc5e2660cd833c3f81cc,2018-01-01,3348,445.31,3793.31,20,80.832,17
00ee68308b45bc5e2660cd833c3f81cc,2018-02-01,2688,365.08,3053.08,19,65.15,17
00ee68308b45bc5e2660cd833c3f81cc,2018-03-01,2312,264.54,2576.54,14,60.081,12
00ee68308b45bc5e2660cd833c3f81cc,2018-04-01,79,8.32,87.32,1,1.1,1
00ee68308b45bc5e2660cd833c3f81cc,2018-05-01,214,41.64,255.64,4,7.463,3
00ee68308b45bc5e2660cd833c3f81cc,2018-06-01,119,20.08,139.08,1,1.85,1
00ee68308b45bc5e2660cd833c3f81cc,2018-07-01,198,33.92,231.92,2,2.4,1
00fc707aaaad2d31347cf883cd2dfe10,2017-12-01,173.6,25.48,199.08,2,0.346,1
00fc707aaaad2d31347cf883cd2dfe10,2018-01-01,9084.4,1646.73,10731.13,99,21.722,72
00fc707aaaad2d31347cf883cd2dfe10,2018-02-01,1844.7,314.39,2159.09,20,4.259,18
00fc707aaaad2d31347cf883cd2dfe10,2018-03-01,1195.8,196.83,1392.63,11,3.61,9
00fc707aaaad2d31347cf883cd2dfe10,2018-04-01,190,61.39,251.39,1,1.188,1
00fc707aaaad2d31347cf883cd2dfe10,2018-05-01,196.4,40.27,236.67,2,0.923,2
010543a62bd80aa422851e79a3bc7540,2017-06-01,708,18.71,726.71,1,2.9,1
010543a62bd80aa422851e79a3bc7540,2017-07-01,708,13.24,721.24,1,2.9,1
010da0602d7774602cd1b3f5fb7b709e,2018-05-01,849.5,230.25,1079.75,5,73.25,1
011b0eaba87386a2ae96a7d32bb531d1,2016-09-01,99.98,29.18,129.16,2,10.8,1
01266d4c46afa519678d16a8b683d325,2018-07-01,90.25,47.23,137.48,3,1.25,3
013900e863eace745d3ec7614cab5b1a,2017-02-01,146,40.32,186.32,2,0.55,2
013900e863eace745d3ec7614cab5b1a,2017-07-01,162,47.46,209.46,3,0.85,1
013900e863eace745d3ec7614cab5b1a,2017-10-01,120.8,33.18,153.98,2,2.25,2
013900e863eace745d3ec7614cab5b1a,2017-11-01,339.9,127.31,467.21,6,5.65,5
013900e863eace745d3ec7614cab5b1a,2017-12-01,277.5,83.41,360.91,5,3.2,5
013900e863eace745d3ec7614cab5b1a,2018-01-01,387.5,93.71,481.21,6,4.6,6
013900e863eace745d3ec7614cab5b1a,2018-03-01,186,44.28,230.28,2,2.05,2
014c0679dd340a0e338872e7ec85666a,2016-12-01,110,18.2,128.2,1,2,1
014c0679dd340a0e338872e7ec85666a,2017-01-01,110,21.34,131.34,1,2,1
014c0679dd340a0e338872e7ec85666a,2017-03-01,594,25.07,619.07,1,3.4,1
014c0679dd340a0e338872e7ec85666a,2017-04-01,594,43.49,637.49,1,3.4,1
014c0679dd340a0e338872e7ec85666a,2017-08-01,589,93.35,682.35,1,30,1
014c0679dd340a0e338872e7ec85666a,2017-10-01,175,21.72,196.72,1,2,1
014c0679dd340a0e338872e7ec85666a,2017-11-01,400,50.24,450.24,1,8.7,1
014c0679dd340a0e338872e7ec85666a,2017-12-01,435,55.65,490.65,1,15.3,1
014c0679dd340a0e338872e7ec85666a,2018-01-01,1320,49.63,1369.63,1,17,1
014c0679dd340a0e338872e7ec85666a,2018-02-01,1693,168.04,1861.04,3,29.3,3
014c0679dd340a0e338872e7ec85666a,2018-03-01,358,24.22,382.22,1,10.2,1
014c0679dd340a0e338872e7ec85666a,2018-06-01,680,57.36,737.36,2,5.5,1
014d9a685fd57276679edd00e07089e5,2017-10-01,69.99,2.66,72.65,1,0.113,1
014d9a685fd57276679edd00e07089e5,2017-12-01,69.99,3.15,73.14,1,0.113,1
014d9a685fd57276679edd00e07089e5,2018-02-01,217.96,41.88,259.84,4,0.874,4
014d9a685fd57276679edd00e07089e5,2018-03-01,131.97,29.21,161.18,3,0.774,2
014d9a685fd57276679edd00e07089e5,2018-07-01,239.97,70.03,310,3,0.735,3
0176f73cc1195f367f7b32db1e5b3aa8,2017-10-01,369.8,84.39,454.19,2,25.017,2
0176f73cc1195f367f7b32db1e5b3aa8,2017-11-01,189.9,62.07,251.97,1,8.917,1
0176f73cc1195f367f7b32db1e5b3aa8,2017-12-01,875.4,223.83,1099.23,6,36.026,6
0176f73cc1195f367f7b32db1e5b3aa8,2018-01-01,365.6,74.07,439.67,4,9.225,3
0176f73cc1195f367f7b32db1e5b3aa8,2018-02-01,212.7,46.19,258.89,3,7.263,3
0176f73cc1195f367f7b32db1e5b3aa8,2018-03-01,375.6,86.73,462.33,4,22.45,4
0176f73cc1195f367f7b32db1e5b3aa8,2018-04-01,775.4,257.99,1033.39,6,39.946,6
0176f73cc1195f367f7b32db1e5b3aa8,2018-05-01,509.6,176.61,686.21,4,25.475,4
0176f73cc1195f367f7b32db1e5b3aa8,2018-06-01,779.3,229.74,1009.04,7,26.575,7
0176f73cc1195f367f7b32db1e5b3aa8,2018-07-01,279.8,45.39,325.19,2,5.8,2
01bcc9d254a0143f0ce9791b960b2a47,2017-07-01,117.79,17.26,135.05,1,0.224,1
01bcc9d254a0143f0ce9791b960b2a47,2017-08-01,670.77,128.67,799.44,5,1.748,5
01bcc9d254a0143f0ce9791b960b2a47,2017-09-01,445.4,79.48,524.88,3,1.3,3
01bcc9d254a0143f0ce9791b960b2a47,2017-12-01,121.35,34.65,156,1,0.224,1
01bcc9d254a0143f0ce9791b960b2a47,2018-01-01,165.9,17.6,183.5,1,0.36,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-03-01,58.8,34.02,92.82,2,1.6,2
01c97ebb5cdac52891c0ed1c37ba0012,2017-06-01,29.4,16.11,45.51,1,0.8,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-07-01,29.4,12.69,42.09,1,0.8,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-10-01,58.8,25.38,84.18,2,1.6,1
01c97ebb5cdac52891c0ed1c37ba0012,2018-02-01,326.2,76.2,402.4,5,5.6,3
01c97ebb5cdac52891c0ed1c37ba0012,2018-06-01,74.9,14.1,89,1,0.85,1
01cf7e3d21494c41fb86034f2e714fa1,2016-09-01,69.9,19.26,89.16,1,1.333,1
01cf7e3d21494c41fb86034f2e714fa1,2016-12-01,980.8,112.58,1093.38,6,45.091,6
01cf7e3d21494c41fb86034f2e714fa1,2017-01-01,232,48.93,280.93,3,3.804,3
01cf7e3d21494c41fb86034f2e714fa1,2017-02-01,1214.16,291.74,1505.9,14,34.074,13
01cf7e3d21494c41fb86034f2e714fa1,2017-03-01,1873.46,369.79,2243.25,11,58.79,10
01cf7e3d21494c41fb86034f2e714fa1,2017-04-01,1246.99,178.51,1425.5,3,47.618,3
01cf7e3d21494c41fb86034f2e714fa1,2017-05-01,89.9,19.87,109.77,1,3.121,1
01cf7e3d21494c41fb86034f2e714fa1,2017-06-01,1164.8,258.56,1423.36,12,35.986,9
01cf7e3d21494c41fb86034f2e714fa1,2017-07-01,1811.45,412.75,2224.2,11,60.653,10
01cf7e3d21494c41fb86034f2e714fa1,2018-01-01,1045.9,296.83,1342.73,5,68.9,5
01ed254b9ff8407dfb9d99ba1e17d923,2017-07-01,678,27.69,705.69,2,0.726,2
01ed254b9ff8407dfb9d99ba1e17d923,2017-08-01,339,13.94,352.94,1,0.363,1
01ed254b9ff8407dfb9d99ba1e17d923,2017-09-01,349,10.64,359.64,1,0.363,1
01ed254b9ff8407dfb9d99ba1e17d923,2017-10-01,99.99,15.45,115.44,1,0.2,1
01fd077212124329bac32490e8ef80d9,2018-03-01,198,124.91,322.91,7,1.1,7
01fd077212124329bac32490e8ef80d9,2018-04-01,205,120.68,325.68,9,0.9,4
01fd077212124329bac32490e8ef80d9,2018-05-01,69,49.37,118.37,3,0.4,3
01fd077212124329bac32490e8ef80d9,2018-06-01,266,98.62,364.62,7,1.1,6
01fd077212124329bac32490e8ef80d9,2018-07-01,470,181.78,651.78,13,2.35,11
01fdefa7697d26ad920e9e0346d4bd1b,2017-03-01,64.9,15.66,80.56,1,1.3,1
01fdefa7697d26ad920e9e0346d4bd1b,2017-04-01,346.78,68.07,414.85,4,4.45,4
01fdefa7697d26ad920e9e0346d4bd1b,2017-05-01,366.59,93.61,460.2,5,6.05,5
01fdefa7697d26ad920e9e0346d4bd1b,2017-06-01,1361.37,234.6,1595.97,10,23.45,10
01fdefa7697d26ad920e9e0346d4bd1b,2017-07-01,1085.39,153.41,1238.8,8,20.15,8
01fdefa7697d26ad920e9e0346d4bd1b,2017-08-01,797.5,150.84,948.34,6,16.6,6
01fdefa7697d26ad920e9e0346d4bd1b,2017-09-01,909.46,150.32,1059.78,9,10.3,8
01fdefa7697d26ad920e9e0346d4bd1b,2017-10-01,1169.56,197.05,1366.61,9,20.3,9
01fdefa7697d26ad920e9e0346d4bd1b,2017-11-01,1993.42,325.13,2318.55,15,36,15
01fdefa7697d26ad920e9e0346d4bd1b,2017-12-01,1675.8,265.24,1941.04,13,27.1,12
01fdefa7697d26ad920e9e0346d4bd1b,2018-01-01,778.3,116.1,894.4,7,9.25,7
01fdefa7697d26ad920e9e0346d4bd1b,2018-02-01,518.5,139.22,657.72,5,6.35,5
01fdefa7697d26ad920e9e0346d4bd1b,2018-03-01,389.69,95.35,485.04,4,4.95,4
01fdefa7697d26ad920e9e0346d4bd1b,2018-04-01,320.8,42.87,363.67,3,3.8,3
01fdefa7697d26ad920e9e0346d4bd1b,2018-05-01,719.2,144.77,863.97,8,10,8
01fdefa7697d26ad920e9e0346d4bd1b,2018-06-01,604.3,155.9,760.2,7,8.25,7
01fdefa7697d26ad920e9e0346d4bd1b,2018-07-01,1819.87,420.5,2240.37,17,32.05,17
0241d4d5d36f10f80c644447315af0bd,2017-09-01,123.9,47.84,171.74,2,5.1,2
0241d4d5d36f10f80c644447315af0bd,2017-10-01,652.8,230.01,882.81,13,16.8,12
0241d4d5d36f10f80c644447315af0bd,2017-11-01,797.9,241.11,1039.01,12,19.5,11
0241d4d5d36f10f80c644447315af0bd,2017-12-01,3199.3,565.08,3764.38,25,82.1,25
0241d4d5d36f10f80c644447315af0bd,2018-01-01,3500.3,689.92,4190.22,25,88.3,25
0241d4d5d36f10f80c644447315af0bd,2018-02-01,2491.3,542.74,3034.04,22,62.45,20
0241d4d5d36f10f80c644447315af0bd,2018-03-01,2951.4,577.73,3529.13,22,73.95,21
0241d4d5d36f10f80c644447315af0bd,2018-04-01,4207.1,817.97,5025.07,31,115.7,31
0241d4d5d36f10f80c644447315af0bd,2018-05-01,5209.7,1175.37,6385.07,31,141.95,29
0241d4d5d36f10f80c644447315af0bd,2018-06-01,4866.2,1173.85,6040.05,35,156.55,35
0241d4d5d36f10f80c644447315af0bd,2018-07-01,3397.8,792.29,4190.09,28,99.15,27
0249d282d911d23cb8b869ab49c99f53,2017-08-01,43,20.57,63.57,2,1,2
0249d282d911d23cb8b869ab49c99f53,2017-09-01,129.5,58.81,188.31,4,2.15,4
0249d282d911d23cb8b869ab49c99f53,2017-10-01,198.5,46.71,245.21,4,3.05,4
0249d282d911d23cb8b869ab49c99f53,2018-02-01,22,12.79,34.79,1,0.5,1
024b564ae893ce8e9bfa02c10a401ece,2016-09-01,467.4,157.8,625.2,6,3.6,1
024b564ae893ce8e9bfa02c10a401ece,2017-01-01,239,54.2,293.2,2,1.8,1
028872bfa080090a9d0abd4f1af168f8,2017-07-01,70.5,47.37,117.87,3,0.6,1
02a2272692e13558373c66db98f05e2e,2017-01-01,29.99,14.52,44.51,1,0.05,1
02a2272692e13558373c66db98f05e2e,2017-02-01,24.99,24.35,49.34,1,0.05,1
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-06-01,129.15,44.7,173.85,1,6.35,1
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-07-01,393.5,181.29,574.79,3,19.85,3
02c988090b766852e088c69d7fb3b551,2017-06-01,229.67,24.16,253.83,2,2.45,2
02c988090b766852e088c69d7fb3b551,2017-07-01,169.99,17.44,187.43,1,1.35,1
02c988090b766852e088c69d7fb3b551,2017-08-01,47.5,45.45,92.95,5,1.125,1
02c988090b766852e088c69d7fb3b551,2017-09-01,119.4,12.04,131.44,1,1.5,1
02c988090b766852e088c69d7fb3b551,2017-10-01,37.79,14.1,51.89,1,0.45,1
02c988090b766852e088c69d7fb3b551,2017-12-01,89.9,11.83,101.73,1,1.6,1
02c988090b766852e088c69d7fb3b551,2018-01-01,34.9,11.85,46.75,1,0.15,1
02c988090b766852e088c69d7fb3b551,2018-03-01,180.9,18.85,199.75,1,1.15,1
02c988090b766852e088c69d7fb3b551,2018-04-01,175.9,19,194.9,1,1.35,1
02c988090b766852e088c69d7fb3b551,2018-05-01,180.9,19.07,199.97,1,1.35,1
02c988090b766852e088c69d7fb3b551,2018-06-01,180.9,12.29,193.19,1,1.35,1
02c988090b766852e088c69d7fb3b551,2018-07-01,170.9,12.22,183.12,1,1.1,1
02d35243ea2e497335cd0f076b45675d,2017-03-01,498,40.04,538.04,2,3,1
02d35243ea2e497335cd0f076b45675d,2017-05-01,249,31.27,280.27,1,1.5,1
02d35243ea2e497335cd0f076b45675d,2017-07-01,1245,204.91,1449.91,5,7.5,5
02d35243ea2e497335cd0f076b45675d,2017-08-01,249,31.27,280.27,1,1.5,1
02d35243ea2e497335cd0f076b45675d,2017-10-01,1106,115.56,1221.56,4,6,3
02d35243ea2e497335cd0f076b45675d,2017-11-01,1899,97.32,1996.32,1,8.5,1
02d35243ea2e497335cd0f076b45675d,2018-02-01,289,41.12,330.12,1,1.5,1
02d35243ea2e497335cd0f076b45675d,2018-07-01,259,44.46,303.46,1,1.3,1
02dcd3e8e25bee036e32512bcf175493,2017-09-01,150,30.58,180.58,2,1.05,1
02dcd3e8e25bee036e32512bcf175493,2018-01-01,225,48.87,273.87,3,1.6,2
02dcd3e8e25bee036e32512bcf175493,2018-02-01,423,90.57,513.57,5,3.9,5
02dcd3e8e25bee036e32512bcf175493,2018-03-01,174,34.77,208.77,2,1.6,2
02dcd3e8e25bee036e32512bcf175493,2018-06-01,190,31.48,221.48,2,2.1,1
02dcd3e8e25bee036e32512bcf175493,2018-07-01,329.9,75.9,405.8,3,3.5,3
02ecc2a19303f05e59ce133fd923fff7,2017-05-01,149.9,17.3,167.2,1,5.5,1
02ecc2a19303f05e59ce133fd923fff7,2017-08-01,449.7,41.53,491.23,2,6.2,2
02ecc2a19303f05e59ce133fd923fff7,2017-10-01,846.1,69.74,915.84,4,15.65,4
02ecc2a19303f05e59ce133fd923fff7,2017-11-01,914.6,57.49,972.09,4,14.9,2
02ecc2a19303f05e59ce133fd923fff7,2017-12-01,447,65.03,512.03,2,8.25,2
02ecc2a19303f05e59ce133fd923fff7,2018-01-01,299.3,28.42,327.72,1,3.6,1
02ecc2a19303f05e59ce133fd923fff7,2018-02-01,1116.7,97.74,1214.44,4,18.35,3
02ecc2a19303f05e59ce133fd923fff7,2018-03-01,219.22,12.16,231.38,1,3.35,1
02ecc2a19303f05e59ce133fd923fff7,2018-04-01,419.1,25.46,444.56,2,13.25,2
02ecc2a19303f05e59ce133fd923fff7,2018-06-01,282.8,41.86,324.66,2,10,2
02ecc2a19303f05e59ce133fd923fff7,2018-07-01,119.77,21.48,141.25,1,5.5,1
02f5837340d7eb4f653d676c7256523a,2017-10-01,707.3,79.68,786.98,5,6,5
02f5837340d7eb4f653d676c7256523a,2017-11-01,909.93,121.12,1031.05,7,8.4,7
02f5837340d7eb4f653d676c7256523a,2017-12-01,1559.88,207.91,1767.79,12,14.4,12
02f5837340d7eb4f653d676c7256523a,2018-02-01,125.99,75.46,201.45,1,1.45,1
02f5837340d7eb4f653d676c7256523a,2018-03-01,115.99,18.39,134.38,1,1.2,1
02f5837340d7eb4f653d676c7256523a,2018-05-01,231.98,34.05,266.03,2,2.4,2
02f5837340d7eb4f653d676c7256523a,2018-06-01,115.99,22.11,138.1,1,1.2,1
02f5837340d7eb4f653d676c7256523a,2018-07-01,115.99,22.11,138.1,1,1.2,1
02f623a8eb246f3c5f7c2f96462654e6,2018-03-01,288,35.07,323.07,2,2.025,2
02f623a8eb246f3c5f7c2f96462654e6,2018-04-01,338,42.44,380.44,3,2.875,3
02f623a8eb246f3c5f7c2f96462654e6,2018-05-01,1393,172.82,1565.82,10,11.817,10
02f623a8eb246f3c5f7c2f96462654e6,2018-06-01,2179,330.21,2509.21,15,15.004,15
02f623a8eb246f3c5f7c2f96462654e6,2018-07-01,2180,249.09,2429.09,14,23.502,14
0307f7565ff85b299b6e5ef162b1b1a9,2016-09-01,16.9,10.96,27.86,1,0.4,1
0307f7565ff85b299b6e5ef162b1b1a9,2017-01-01,2234.9,130.34,2365.24,3,29.8,3
0307f7565ff85b299b6e5ef162b1b1a9,2017-02-01,1878,81.84,1959.84,2,21.3,2
0307f7565ff85b299b6e5ef162b1b1a9,2017-04-01,599,51.63,650.63,1,7,1
0336182e1b3e92f029d5354832045fdf,2016-09-01,29.8,17.57,47.37,2,0.68,1
034b9387752bfa309f350a70cd45ffa3,2018-03-01,48,72.13,120.13,4,0.6,4
034b9387752bfa309f350a70cd45ffa3,2018-05-01,12,18.23,30.23,1,0.15,1
034b9387752bfa309f350a70cd45ffa3,2018-06-01,24,35.67,59.67,2,0.3,2
034b9387752bfa309f350a70cd45ffa3,2018-07-01,12,18.23,30.23,1,0.15,1
038b75b729c8a9a04b0d07cba7eabe86,2018-03-01,467,90.85,557.85,2,10.876,2
039b29ff3b3473435d0cd59040575de9,2018-03-01,17.8,22.62,40.42,2,0.4,2
039b29ff3b3473435d0cd59040575de9,2018-04-01,16.1,22.85,38.95,1,0.2,1
039b29ff3b3473435d0cd59040575de9,2018-05-01,8.9,7.39,16.29,1,0.2,1
039b29ff3b3473435d0cd59040575de9,2018-06-01,16.9,7.39,24.29,1,0.1,1
039b29ff3b3473435d0cd59040575de9,2018-07-01,55.2,40.4,95.6,4,0.8,4
039e6ad9dae79614493083e241147386,2018-03-01,4775,164.7,4939.7,2,13.2,2
039e6ad9dae79614493083e241147386,2018-04-01,6480,115.55,6595.55,2,17.55,2
039e6ad9dae79614493083e241147386,2018-06-01,1670,68.17,1738.17,1,7.15,1
03a2a6dcbe45d639c4dc2a0d24769c40,2018-02-01,425.87,53.03,478.9,3,5.225,3
03a2a6dcbe45d639c4dc2a0d24769c40,2018-03-01,149.9,12.95,162.85,1,3,1
03a2a6dcbe45d639c4dc2a0d24769c40,2018-05-01,202.7,51.07,253.77,3,1.55,3
03a2a6dcbe45d639c4dc2a0d24769c40,2018-07-01,299.94,55.2,355.14,2,2.15,2
03bd479e1d9484cdb14104d3023f7321,2018-04-01,119.9,22.55,142.45,1,0.35,1
03bd479e1d9484cdb14104d3023f7321,2018-06-01,239.8,35.17,274.97,2,0.7,2
0417b067eeab773d2f7061a726dc477f,2018-02-01,322.27,190.75,513.02,4,19.15,4
0417b067eeab773d2f7061a726dc477f,2018-03-01,109.99,40.84,150.83,1,5.9,1
0417b067eeab773d2f7061a726dc477f,2018-04-01,406.96,208.1,615.06,4,24.2,4
0417b067eeab773d2f7061a726dc477f,2018-06-01,67.99,25.6,93.59,1,4.9,1
0417b067eeab773d2f7061a726dc477f,2018-07-01,951.97,177.28,1129.25,3,21.3,3
042573af89b6d931f672efaf789d8358,2017-12-01,238.49,33.66,272.15,2,2.553,2
042573af89b6d931f672efaf789d8358,2018-01-01,174.99,31.43,206.42,1,4.9,1
04308b1ee57b6625f47df1d56f00eedf,2017-10-01,3999.7,148.98,4148.68,3,2.041,3
04308b1ee57b6625f47df1d56f00eedf,2017-11-01,4305.6,130.76,4436.36,4,2.549,4
04308b1ee57b6625f47df1d56f00eedf,2017-12-01,619.9,46.37,666.27,1,0.583,1
04308b1ee57b6625f47df1d56f00eedf,2018-01-01,5050.1,236.04,5286.14,9,5.465,9
04308b1ee57b6625f47df1d56f00eedf,2018-02-01,16556.2,913.62,17469.82,28,16.886,28
04308b1ee57b6625f47df1d56f00eedf,2018-03-01,4339.5,127.44,4466.94,5,2.909,5
04308b1ee57b6625f47df1d56f00eedf,2018-05-01,499.9,16.76,516.66,1,0.65,1
04308b1ee57b6625f47df1d56f00eedf,2018-06-01,15731.4,882.45,16613.85,26,20.817,26
04308b1ee57b6625f47df1d56f00eedf,2018-07-01,9028.3,551.97,9580.27,17,9.681,17
0432ead42b6c8a0bdf68154add917fdf,2017-03-01,935,155.9,1090.9,10,4.043,7
0432ead42b6c8a0bdf68154add917fdf,2017-04-01,1664.2,214.36,1878.56,18,7.099,17
0432ead42b6c8a0bdf68154add917fdf,2017-05-01,729.2,91.43,820.63,8,3.376,7
0432ead42b6c8a0bdf68154add917fdf,2017-06-01,389.4,79.19,468.59,6,1.956,6
0432ead42b6c8a0bdf68154add917fdf,2017-07-01,489.4,73.44,562.84,6,2.068,6
0432ead42b6c8a0bdf68154add917fdf,2017-08-01,721.2,127.35,848.55,8,4.5,8
0432ead42b6c8a0bdf68154add917fdf,2017-09-01,635.2,126.16,761.36,8,3,8
0432ead42b6c8a0bdf68154add917fdf,2017-10-01,795.2,88.68,883.88,8,4.622,8
0432ead42b6c8a0bdf68154add917fdf,2017-11-01,710.2,110.3,820.5,9,3.197,9
0432ead42b6c8a0bdf68154add917fdf,2017-12-01,205.7,47.59,253.29,3,1.097,3
0432ead42b6c8a0bdf68154add917fdf,2018-01-01,159.8,15.62,175.42,2,1.333,2
0432ead42b6c8a0bdf68154add917fdf,2018-02-01,285.8,32.95,318.75,2,2.047,2
0432ead42b6c8a0bdf68154add917fdf,2018-04-01,35.9,37.04,72.94,1,0.247,1
0432ead42b6c8a0bdf68154add917fdf,2018-06-01,35.9,7.51,43.41,1,0.247,1
044668ccd5316b12a7cf0d54a156e3e9,2018-07-01,137.8,53.55,191.35,4,2.2,3
